I0531 10:13:44.006517       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-tnljb" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:45.428156       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-5xvql" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:45.454508       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-6hqlw" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:45.982399       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-b6t9q" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:46.102327       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-fbbh6" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:46.392006       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-mbchw" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:46.540572       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-hwmkp" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:46.840431       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-nbs7k" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:47.020716       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-p9f9m" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:47.558673       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-x95bk" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
